Labels,Text,Text_Tag
3,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","debt,federal-budget,taxes"
3,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record"
2,Donald Trump has said nuclear proliferation is OK.,nuclear
5,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics
1,Barack Obama has never even worked in business.,candidates-biography
2,Says the Arizona immigration law expressly bans racial profiling.,immigration
1,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"crime,immigration"
0,"On the VA: Over 300,000 veterans have died waiting for care.","health-care,veterans"
3,Were now spending 42 percent of our economy on government.,"debates,federal-budget,government-efficiency"
0,Rob Cornilles supports privatizing Medicare.,"medicare,message-machine-2012"
1,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","abortion,corrections-and-updates"
2,We (Democrats) have made steady progress creating jobs and improving our schools.,"education,government-efficiency,job-accomplishments,jobs"
4,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,environment
5,"Whether you like to admit it or not, half our general revenue goes to education.","education,state-budget"
1,Im the only one whos fought against developers draining the Everglades!,"environment,message-machine"
2,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,"crime,debt,federal-budget,social-security"
2,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.","gays-and-lesbians,government-regulation,sexuality"
0,Climate change is directly related to the growth of terrorism.,"climate-change,terrorism"
0,The jobs bill includes President Obamas tax on soup kitchens,"economy,jobs,taxes,workers"
0,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,stimulus
2,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,civil-rights
2,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.","city-government,crime,drugs,government-regulation,marijuana"
1,We have more illegal immigrants here than we did five years ago.,immigration
0,Says Rick Perry wrote a letter supporting Hillarycare.,health-care
1,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,sports
4,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits"
3,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,immigration
2,Says Chris Christie vetoed a jobs package of 30 bills.,jobs
5,There are already more American jobs in the solar industry than in coal mining.,"climate-change,energy,environment,jobs"
2,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,"agriculture,job-accomplishments,message-machine"
2,Barack Obama is in an economy thats only worsened since hes been president of the United States.,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers"
3,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",immigration
2,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.","economy,job-accomplishments,jobs"
1,Says Thomas Eric Duncan came into the United States with an elevated temperature.,"ebola,health-care,public-health,transportation"
3,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,afghanistan
2,Gas prices have gone up $2 since Obama took office.,"energy,gas-prices"
5,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"marriage,message-machine,women"
5,Says judges get better benefits at a lower cost than everybody else in the state.,pensions
5,There are a lot of casinos across the country that have gone bankrupt.,"bankruptcy,economy,gambling,state-budget,state-finances,states"
5,Small businesses create 70 percent of the jobs in America.,"economy,jobs,small-business"
2,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform","health-care,medicare"
2,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.","children,crime,education"
3,If Texas were a country our economy would rank # 10...in the WORLD.,"corrections-and-updates,economy,states"
1,There are more oil rigs in operation in the United States than the rest of the world combined.,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure"
2,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",financial-regulation
2,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",social-security
3,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,"elections,taxes"
1,The Obama administration shut down the Amber Alert program because of the government shutdown.,"children,crime,federal-budget"
3,The Republicans have 2 percent of the Muslim vote.,religion
3,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",criminal-justice
4,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.","energy,environment,military"
2,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.","economy,jobs"
5,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.","elections,immigration,pundits"
3,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,"candidates-biography,congress,foreign-policy,history,terrorism"
1,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.","pundits,transportation"
1,Not one Republican has the guts to recognize that climate change is real.,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety"
2,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.","economy,income,workers"
4,David Dewhurst has a record of promoting an income tax.,taxes
3,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,"environment,income"
0,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",afghanistan
1,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.","crime,homeland-security,immigration"
0,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,"economy,jobs"
1,Says Obama health reform law denies millions access to affordable insurance.,"health-care,workers"
0,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,"corporations,economy,gays-and-lesbians,state-finances,states"
1,Close to 30% of our federal prison population consists of illegal immigrants.,immigration
1,Says Rick Scott called education not a core function of the state.,"education,state-budget"
1,"The Family Research Council, according to some government agencies, is a terrorist group.",terrorism
5,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes"
5,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,"elections,states"
1,Obamacare is the biggest tax increase in American history.,"corrections-and-updates,federal-budget,health-care,taxes"
5,You ... said that Barack Obama was not ready to be commander in chief.,candidates-biography
3,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.","economy,jobs,labor,workers"
0,Milwaukee Mayor Tom Barrett has held the line on property taxes.,"job-accomplishments,taxes"
5,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,campaign-finance
5,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.","bipartisanship,job-accomplishments"
1,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,"job-accomplishments,message-machine-2012,state-finances"
2,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.","campaign-finance,environment"
2,On how money from a possible lease of the Ohio Turnpike would be used,"infrastructure,transportation"
3,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.","economy,federal-budget"
2,"The president has had 1,540 of his nominations confirmed, only four defeated.",legal-issues
5,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,"foreign-policy,religion,terrorism"
0,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.","labor,public-safety"
3,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,"criminal-justice,government-regulation"
5,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""","economy,history,workers"
5,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",iraq
0,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,bipartisanship
2,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,taxes
2,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""","kagan-nomination,military,abc-news-week"
3,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.","children,education,state-budget,state-finances"
2,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.","education,federal-budget"
3,The Paul Ryan budget proposal would privatize Medicare.,"federal-budget,health-care,medicare"
3,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,"criminal-justice,education"
2,The United States imprisons more than any nation in the world.,criminal-justice
4,Says Marco Rubio is the one for an open border.,immigration
3,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.","education,federal-budget"
0,Says cuts to Medicare affect people who have already paid in. We paid for it.,"federal-budget,health-care,medicare"
0,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,"bipartisanship,campaign-finance,candidates-biography"
5,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care"
1,Providences port is 200 miles closer to Europe than any other Eastern port.,"economy,infrastructure,trade,transportation"
5,Says you need a photo ID to purchase Sudafed in Texas.,"elections,legal-issues"
3,Twenty percent of housing in Portlands Pearl District is affordable.,"housing,infrastructure,taxes,urban"
3,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",taxes
2,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,foreign-policy
2,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,"jobs,unions"
5,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",federal-budget
0,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,veterans
1,We now have driven (health care) costs down to the lowest theyve been in 50 years.,health-care
2,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""","homeland-security,terrorism,abc-news-week"
2,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.","stimulus,taxes"
3,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",taxes
3,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.","corrections-and-updates,guns,homeland-security"
0,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,iraq
1,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,"health-care,supreme-court"
2,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,taxes
5,Warren (Buffett) still does support me.,economy
5,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,"candidates-biography,jobs"
1,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,elections
3,"About 230,000 people that were on unemployment when I took office are not on unemployment now.","economy,workers"
0,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.","children,health-care,public-health,pundits"
4,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,immigration
1,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,"criminal-justice,health-care,legal-issues,privacy"
5,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",crime
4,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,"corrections-and-updates,obama-birth-certificate"
0,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",economy
1,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.","education,state-budget,taxes"
2,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.","candidates-biography,women,workers"
3,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.","crime,criminal-justice,women"
2,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,"crime,homeland-security,legal-issues,terrorism,abc-news-week"
2,On legalizing illegal immigrants.,immigration
5,Nearly half of all pregnancies in the U.S. are unintended.,"abortion,census,children,families,health-care,public-health,women"
2,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",energy
2,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",housing
2,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.","economy,federal-budget"
1,The top 1 percent pay over half of the entire revenue for this country.,taxes
0,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,"state-budget,state-finances,taxes"
2,Chris Christie has not increased the taxes on anyone.,taxes
0,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,"agriculture,immigration,workers"
1,Says he never said he would keep education funding the same.,"education,state-budget"
5,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",education
2,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",medicare
3,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",education
1,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,israel
0,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,"energy,message-machine-2012,taxes"
0,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,"energy,taxes,voting-record"
